BROAD_ID	CPD_NAME	CPD_NAME_TYPE	CPD_SAMPLE_ID	DOS_LIBRARY	SOURCE_NAME	CHEMIST_NAME	VENDOR_CATALOG_ID	CPD_SMILES	USERCOMMENT	pert_id	pert_iname
BRD-K01624546-001-02-8	DOCOSATRIENOIC ACID (22:3 n-3)	to-be-curated	SA81992	NA	Biomol International Inc.	NA	FA-010	CC\C=C/C\C=C/C\C=C/CCCCCCCCCCCC(O)=O	NA	BRD-K01624546	docosatrienoic-acid
BRD-A72711497-236-02-0	lasalocid	INN	SA59462	NA	MicroSource Discovery Systems Inc.	NA	1503244	CC[C@H](C1OC(CC)(C[C@@H]1C)C1CC[C@](O)(CC)[C@H](C)O1)C(=O)C(C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(O)=O	NA	BRD-A72711497	lasalocid
BRD-K02283807-003-01-4	GR 32191	to-be-curated	SA792672	NA	Tocris Bioscience	NA	1958	O[C@H]1C[C@H](OCc2ccc(cc2)-c2ccccc2)[C@H](CC\C=C/CCC(O)=O)[C@H]1N1CCCCC1	NA	BRD-K02283807	GR-32191
BRD-K06014311-001-01-2	DH 97	to-be-curated	SA792380	NA	Tocris Bioscience	NA	1218	CCCCC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12	NA	BRD-K06014311	DH-97
BRD-A51410489-001-01-4	yohimbine hydrochloride	USP	SA37441	NA	AnalytiCon Discovery GmbH	NA	NP-003301	COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC12	NA	BRD-A51410489	yohimbine
BRD-A69636825-003-02-1	diltiazem	INN	SA58799	NA	MicroSource Discovery Systems Inc.	NA	2300214	COc1ccc(cc1)C1Sc2ccccc2N(CCN(C)C)C(=O)C1OC(C)=O	NA	BRD-A69636825	diltiazem
BRD-A99411506-002-01-3	esculin	primary-common	SA83630	NA	Prestwick Chemical Inc.	NA	Prestw-892	OC[C@H]1OC(Oc2cc3ccc(=O)oc3cc2O)[C@H](O)[C@@H](O)[C@@H]1O	NA	BRD-A99411506	esculin
BRD-A87719232-001-02-4	naproxen	INN	SA83018	NA	Prestwick Chemical Inc.	NA	Prestw-45	COc1ccc2cc(ccc2c1)C(C)C(O)=O	NA	BRD-A87719232	naproxen
BRD-K12765235-304-03-8	carbenoxolone	INN	SA82726	NA	Prestwick Chemical Inc.	NA	Prestw-837	CC1(C)[C@H](CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O)OC(=O)CCC(O)=O	NA	BRD-K12765235	carbenoxolone
BRD-A78303415-001-02-7	hyoscyamine	BAN	SA58344	NA	MicroSource Discovery Systems Inc.	NA	1500346	CN1C2CC[C@@H]1C[C@H](C2)OC(=O)[C@H](CO)c1ccccc1	NA	BRD-A78303415	hyoscyamine
BRD-A55913614-316-04-7	primaquine	INN	SA58432	NA	MicroSource Discovery Systems Inc.	NA	1500500	COc1cc(NC(C)CCCN)c2ncccc2c1	NA	BRD-A55913614	primaquine
BRD-K01815685-001-02-3	indole-3-carbinol	primary-common	SA59853	NA	MicroSource Discovery Systems Inc.	NA	1505320	OCc1c[nH]c2ccccc12	NA	BRD-K01815685	indole-3-carbinol
BRD-K08619574-334-03-9	thioproperazine	INN	SA83133	NA	Prestwick Chemical Inc.	NA	Prestw-149	CN(C)S(=O)(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(C)CC3)c2c1	NA	BRD-K08619574	thioproperazine
BRD-K05151076-001-01-8	ZK 164015	to-be-curated	SA792750	NA	Tocris Bioscience	NA	2183	CCCCCS(=O)(=O)CCCCCCCCCCn1c(c(C)c2cc(O)ccc12)-c1ccc(O)cc1	NA	BRD-K05151076	ZK-164015
BRD-K08252256-236-04-9	diclofenac	INN	SA58265	NA	MicroSource Discovery Systems Inc.	NA	1500237	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	NA	BRD-K08252256	diclofenac
BRD-K08806317-050-03-6	timolol	INN	SA83678	NA	Prestwick Chemical Inc.	NA	Prestw-948	CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1	NA	BRD-K08806317	timolol
BRD-K14844937-001-01-6	40 (DMCM)	to-be-curated	SA82549	NA	Biomol International Inc.	NA	AC-769	CCc1c(ncc2[nH]c3cc(OC)c(OC)cc3c12)C(=O)OC	NA	BRD-K14844937	BRD-K14844937
BRD-A68723818-050-04-4	brompheniramine	INN	SA58861	NA	MicroSource Discovery Systems Inc.	NA	1503985	CN(C)CCC(c1ccc(Br)cc1)c1ccccn1	NA	BRD-A68723818	brompheniramine
BRD-A64092382-003-03-5	mexiletine	INN	SA58607	NA	MicroSource Discovery Systems Inc.	NA	1503929	CC(N)COc1c(C)cccc1C	NA	BRD-A64092382	mexiletine
BRD-K10995081-001-05-5	perphenazine	INN	SA83132	NA	Prestwick Chemical Inc.	NA	Prestw-125	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1	NA	BRD-K10995081	perphenazine
BRD-A55756846-001-05-5	H7	primary-common	SA82254	NA	Biomol International Inc.	NA	EI-148	CC1CNCCN1S(=O)(=O)c1cccc2cnccc12	NA	BRD-A55756846	H-7
BRD-A45499626-001-01-0	UBP 296	common	SA792721	NA	Tocris Bioscience	NA	2078	NC(Cn1ccc(=O)n(Cc2ccccc2C(O)=O)c1=O)C(O)=O	NA	BRD-A45499626	UBP-302
BRD-K11158509-001-02-0	tyrphostin B44	primary-common	SA59649	NA	MicroSource Discovery Systems Inc.	NA	2300074	C[C@@H](NC(=O)C(=C/c1ccc(O)c(O)c1)\C#N)c1ccccc1	NA	BRD-K11158509	tyrphostin-B44
BRD-A49906757-004-03-1	scopolamin-N-oxide hydrobromide	common	SA83146	NA	Prestwick Chemical Inc.	NA	Prestw-232	C[N+]1([O-])[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1	NA	BRD-A49906757	scopolamine-n-oxide
BRD-A72596465-001-01-3	GW 6471	to-be-curated	SA792786	NA	Tocris Bioscience	NA	2271	CCOC(=O)NCC(Cc1ccc(OCCc2nc(oc2C)-c2ccccc2)cc1)NC(C)=CC(=O)c1ccc(cc1)C(F)(F)F	NA	BRD-A72596465	GW-6471
BRD-A74904029-001-04-0	DRB	primary-common	SA82238	NA	Biomol International Inc.	NA	EI-231	OC[C@H]1O[C@H](C(O)[C@H]1O)n1cnc2cc(Cl)c(Cl)cc12	NA	BRD-A74904029	EI-231
BRD-A88282067-001-02-2	delcorine	common	SA82859	NA	Prestwick Chemical Inc.	NA	Prestw-664	CCN1C[C@]2(COC)CC[C@H](OC)[C@@]34[C@@H]5C[C@H]6[C@H](OC)[C@@H]5[C@@]5(C[C@@H]6OC)OCO[C@]5([C@@H](O)[C@H]23)C14	NA	BRD-A88282067	delcorine
BRD-K08115555-001-02-8	tyrphostin AG-1288	primary-common	SA63247	NA	EMD Biosciences	NA	658510	Oc1cc(C=C(C#N)C#N)cc(c1O)[N+]([O-])=O	NA	BRD-K08115555	tyrphostin-AG-1288
BRD-A80151636-066-02-2	bromocriptine	INN	SA59628	NA	MicroSource Discovery Systems Inc.	NA	1500151	CC(C)CC1N2C(=O)[C@](NC(=O)C3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(OC2(O)[C@@H]2CCCN2C1=O)C(C)C	NA	BRD-A80151636	bromocriptine
BRD-A69815203-001-02-7	ciclosporin	INN	SA59473	NA	MicroSource Discovery Systems Inc.	NA	1502202	CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	NA	BRD-A69815203	cyclosporin-a
BRD-A51820102-008-04-0	econazole	INN	SA59347	NA	MicroSource Discovery Systems Inc.	NA	1501185	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	NA	BRD-A51820102	econazole
BRD-A81177136-001-03-6	KN-62	primary-common	SA81861	NA	Biomol International Inc.	NA	EI-230	CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(CC1)c1ccccc1)S(=O)(=O)c1cccc2cnccc12	NA	BRD-A81177136	KN-62
BRD-A98725278-103-01-9	methysergide	to-be-curated	SA792311	NA	Tocris Bioscience	NA	1064	CCC(CO)NC(=O)C1CN(C)C2Cc3cn(C)c4cccc(C2=C1)c34	NA	BRD-A98725278	methysergide
BRD-K15601958-001-01-3	SEW2871	primary-common	SA792793	NA	Tocris Bioscience	NA	2284	FC(F)(F)c1sc(cc1-c1ccccc1)-c1nc(no1)-c1cccc(c1)C(F)(F)F	NA	BRD-K15601958	SEW-2871
BRD-A50684349-001-01-5	fenoldopam	INN	SA82630	NA	Biomol International Inc.	NA	AC-257	Oc1ccc(cc1)C1CNCCc2c(Cl)c(O)c(O)cc12	NA	BRD-A50684349	fenoldopam
BRD-A64125466-236-02-0	dehydrocholic acid	INN	SA58257	NA	MicroSource Discovery Systems Inc.	NA	1500225	C[C@H](CCC(O)=O)[C@H]1CCC2C3C(CC(=O)[C@]12C)[C@@]1(C)CCC(=O)CC1CC3=O	NA	BRD-A64125466	dehydrocholate
BRD-A75552914-001-04-4	isoxicam	INN	SA59460	NA	MicroSource Discovery Systems Inc.	NA	1503242	CN1C(C(=O)Nc2cc(C)on2)C(=O)c2ccccc2S1(=O)=O	NA	BRD-A75552914	isoxicam
BRD-A50737080-001-01-4	CGK733	common	SA792956	NA	Tocris Bioscience	NA	2639	[O-][N+](=O)c1cc(NC(=S)NC(NC(=O)C(c2ccccc2)c2ccccc2)C(Cl)(Cl)Cl)ccc1F	NA	BRD-A50737080	CGK-733
BRD-A60274948-066-02-9	bromocriptine	INN	SA83329	NA	Prestwick Chemical Inc.	NA	Prestw-121	CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)C4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C	NA	BRD-A60274948	bromocriptine
BRD-A49734948-001-03-3	foliosidine	primary-common	SA83530	NA	Prestwick Chemical Inc.	NA	Prestw-667	COc1cc(=O)n(C)c2c(OCC(O)C(C)(C)O)cccc12	NA	BRD-A49734948	foliosidine
BRD-A74269027-003-03-8	isoxsuprine	INN	SA83102	NA	Prestwick Chemical Inc.	NA	Prestw-68	CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1	NA	BRD-A74269027	isoxsuprine
BRD-A62525898-001-02-9	prednisone	INN	SA58636	NA	MicroSource Discovery Systems Inc.	NA	1500499	C[C@]12CC(=O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)CO	NA	BRD-A62525898	prednisone
BRD-A54845972-066-01-5	dihydro-ergotamine	to-be-curated	SA791991	NA	Tocris Bioscience	NA	475	CN1CC(CC2C1Cc1c[nH]c3cccc2c13)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O	NA	BRD-A54845972	dihydroergotamine
BRD-A71799696-001-01-5	BH3I-1	common	SA63137	NA	EMD Biosciences	NA	286892	CC(C)C(N1C(=S)S\C(=C/c2ccccc2)C1=O)C(O)=O	NA	BRD-A71799696	BH3I-1
BRD-A59215453-003-03-3	lobelanidine	primary-common	SA82998	NA	Prestwick Chemical Inc.	NA	Prestw-582	CN1C(CC(O)c2ccccc2)CCCC1CC(O)c1ccccc1	NA	BRD-A59215453	lobelanidine
BRD-K18059238-001-02-1	gamolenic acid	INN	SA82000	NA	Biomol International Inc.	NA	FA006	CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O	NA	BRD-K18059238	gamma-linolenic-acid
BRD-A72703248-001-02-7	SK&F 96365	primary-common	SA82110	NA	Biomol International Inc.	NA	CA-230	COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1	NA	BRD-A72703248	SKF-96365
BRD-K93754473-001-02-9	tamoxifen	INN	SA82346	NA	Biomol International Inc.	NA	S-650	CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	NA	BRD-K93754473	tamoxifen
BRD-K80334323-001-03-5	noretynodrel	INN	SA83427	NA	Prestwick Chemical Inc.	NA	Prestw-24	C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]1CC[C@@]2(O)C#C	NA	BRD-K80334323	noretynodrel
BRD-K06234293-001-01-8	LY-364947	common	SA792991	NA	Tocris Bioscience	NA	2718	c1[nH]nc(c1-c1ccnc2ccccc12)-c1ccccn1	NA	BRD-K06234293	LY-364947
BRD-K88429204-001-04-7	pyrimethamine	INN	SA59581	NA	MicroSource Discovery Systems Inc.	NA	1500520	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	NA	BRD-K88429204	pyrimethamine
BRD-K07507905-236-01-8	BRL 37344	to-be-curated	SA792240	NA	Tocris Bioscience	NA	948	C[C@H](Cc1ccc(OCC(O)=O)cc1)NC[C@H](O)c1cccc(Cl)c1	NA	BRD-K07507905	BRL-37344
BRD-K86882815-001-01-6	cabergoline	common	SA82670	NA	Biomol International Inc.	NA	AC-1359	CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1	NA	BRD-K86882815	cabergoline
BRD-A93255169-001-06-9	thalidomide	INN	SA82349	NA	Biomol International Inc.	NA	T-115	O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12	NA	BRD-A93255169	thalidomide
BRD-K96119599-001-04-7	leucodin	primary-common	SA59511	NA	MicroSource Discovery Systems Inc.	NA	1504149	C[C@H]1[C@@H]2CCC(C)=C3[C@@H]([C@H]2OC1=O)C(C)=CC3=O	NA	BRD-K96119599	leucodin
BRD-K14807180-001-01-7	SB-221284	to-be-curated	SA792455	NA	Tocris Bioscience	NA	1379	CSc1cc2CCN(C(=O)Nc3cccnc3)c2cc1C(F)(F)F	NA	BRD-K14807180	SB-221284
BRD-K17378184-300-03-4	DO 897/99	primary-common	SA83408	NA	Prestwick Chemical Inc.	NA	Prestw-559	COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1	NA	BRD-K17378184	BP-897
BRD-K81272440-001-02-6	dantrolene	INN	SA82064	NA	Biomol International Inc.	NA	AC-100	[O-][N+](=O)c1ccc(cc1)-c1ccc(\C=N\N2CC(=O)NC2=O)o1	NA	BRD-K81272440	dantrolene
BRD-K88611939-001-01-8	aniracetam	INN	SA59433	NA	MicroSource Discovery Systems Inc.	NA	1503078	COc1ccc(cc1)C(=O)N1CCCC1=O	NA	BRD-K88611939	aniracetam
BRD-K92049597-001-04-2	triamterene	INN	SA59252	NA	MicroSource Discovery Systems Inc.	NA	1500589	Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1	NA	BRD-K92049597	triamterene
BRD-K03015355-003-01-5	HSCI1_000325	to-be-curated	SA63434	NA	EMD Biosciences	NA	344273	CN1CCN(CCCC(=O)O[C@H]2[C@@H](O)[C@H]3C(C)(C)CC[C@H](O)[C@]3(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]23C)C=C)CC1	NA	BRD-K03015355	forskolin
BRD-K91315211-334-02-3	betahistine	INN	SA83387	NA	Prestwick Chemical Inc.	NA	Prestw-543	CNCCc1ccccn1	NA	BRD-K91315211	betahistine
BRD-K02637541-001-02-4	celecoxib	INN	SA59876	NA	MicroSource Discovery Systems Inc.	NA	1503678	Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F	NA	BRD-K02637541	celecoxib
BRD-A94624445-236-02-2	bucladesine	INN	SA82230	NA	Biomol International Inc.	NA	CN-125	CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC	NA	BRD-A94624445	bucladesine
BRD-K89997465-001-02-0	chlorpromazine	INN	SA58226	NA	MicroSource Discovery Systems Inc.	NA	1500184	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12	NA	BRD-K89997465	chlorpromazine
BRD-K90259198-003-04-8	W-7	primary-common	SA82366	NA	Biomol International Inc.	NA	CA-320	NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12	NA	BRD-K90259198	W-7
BRD-K78485176-001-02-9	olmesartan medoxomil	INN	SA59556	NA	MicroSource Discovery Systems Inc.	NA	1505205	CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1	NA	BRD-K78485176	olmesartan-medoxomil
