id,sig_id,pert_id,pert_iname,pert_type,cell_id,pert_dose,pert_dose_unit,pert_idose,pert_time,pert_time_unit,pert_itime,distil_id,n
CPC004_A375_6H:BRD-A05186015-003-09-9:10,CPC004_A375_6H:BRD-A05186015-003-09-9:10,BRD-A05186015,bupropion,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:J08|CPC004_A375_6H_X2_B3_DUO52HI53LO:J08|CPC004_A375_6H_X3_B3_DUO52HI53LO:J08,233
CPC004_A375_6H:BRD-A15131297-003-01-9:10,CPC004_A375_6H:BRD-A15131297-003-01-9:10,BRD-A15131297,benazepril,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:M05|CPC004_A375_6H_X2_B3_DUO52HI53LO:M05|CPC004_A375_6H_X3_B3_DUO52HI53LO:M05,233
CPC005_A375_6H:BRD-A60274948-066-02-9:10,CPC005_A375_6H:BRD-A60274948-066-02-9:10,BRD-A60274948,bromocriptine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC005_A375_6H_X1_B3_DUO52HI53LO:M24|CPC005_A375_6H_X2_B3_DUO52HI53LO:M24|CPC005_A375_6H_X3_B3_DUO52HI53LO:M24,233
CPC004_A375_6H:BRD-K02404261-001-07-6:10,CPC004_A375_6H:BRD-K02404261-001-07-6:10,BRD-K02404261,caffeine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:F07|CPC004_A375_6H_X2_B3_DUO52HI53LO:F07|CPC004_A375_6H_X3_B3_DUO52HI53LO:F07,233
CPC004_A375_6H:BRD-K71799949-001-18-2:10,CPC004_A375_6H:BRD-K71799949-001-18-2:10,BRD-K71799949,carbamazepine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:F09|CPC004_A375_6H_X2_B3_DUO52HI53LO:F09|CPC004_A375_6H_X3_B3_DUO52HI53LO:F09,233
CPC004_A375_6H:BRD-A29426959-050-07-4:10,CPC004_A375_6H:BRD-A29426959-050-07-4:10,BRD-A29426959,carbinoxamine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:F11|CPC004_A375_6H_X2_B3_DUO52HI53LO:F11|CPC004_A375_6H_X3_B3_DUO52HI53LO:F11,233
CPC004_A375_6H:BRD-A10977446-001-05-5:10,CPC004_A375_6H:BRD-A10977446-001-05-5:10,BRD-A10977446,carvedilol,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L04|CPC004_A375_6H_X2_B3_DUO52HI53LO:L04|CPC004_A375_6H_X3_B3_DUO52HI53LO:L04,233
CPC004_A375_6H:BRD-K02637541-001-06-5:10,CPC004_A375_6H:BRD-K02637541-001-06-5:10,BRD-K02637541,celecoxib,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:F16|CPC004_A375_6H_X2_B3_DUO52HI53LO:F16|CPC004_A375_6H_X3_B3_DUO52HI53LO:F16,233
CPC004_A375_6H:BRD-K29458283-001-17-4:10,CPC004_A375_6H:BRD-K29458283-001-17-4:10,BRD-K29458283,chlorambucil,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:F15|CPC004_A375_6H_X2_B3_DUO52HI53LO:F15|CPC004_A375_6H_X3_B3_DUO52HI53LO:F15,233
CPC004_A375_6H:BRD-A91699651-316-06-7:10,CPC004_A375_6H:BRD-A91699651-316-06-7:10,BRD-A91699651,chloroquine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:F17|CPC004_A375_6H_X2_B3_DUO52HI53LO:F17|CPC004_A375_6H_X3_B3_DUO52HI53LO:F17,233
CPC004_A375_6H:BRD-K89997465-001-05-3:10,CPC004_A375_6H:BRD-K89997465-001-05-3:10,BRD-K89997465,chlorpromazine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:C09|CPC004_A375_6H_X2_B3_DUO52HI53LO:C09|CPC004_A375_6H_X3_B3_DUO52HI53LO:C09,233
CPC004_A375_6H:BRD-A26384407-001-15-2:10,CPC004_A375_6H:BRD-A26384407-001-15-2:10,BRD-A26384407,chlorthalidone,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:C11|CPC004_A375_6H_X2_B3_DUO52HI53LO:C11|CPC004_A375_6H_X3_B3_DUO52HI53LO:C11,233
CPC004_A375_6H:BRD-K67017579-001-16-6:10,CPC004_A375_6H:BRD-K67017579-001-16-6:10,BRD-K67017579,cilostazol,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:H11|CPC004_A375_6H_X2_B3_DUO52HI53LO:H11|CPC004_A375_6H_X3_B3_DUO52HI53LO:H11,233
CPC004_A375_6H:BRD-K34157611-001-07-9:10,CPC004_A375_6H:BRD-K34157611-001-07-9:10,BRD-K34157611,cimetidine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X2_B3_DUO52HI53LO:B23|CPC004_A375_6H_X3_B3_DUO52HI53LO:B23,233
CPC004_A375_6H:BRD-K30240666-051-08-4:10,CPC004_A375_6H:BRD-K30240666-051-08-4:10,BRD-K30240666,clemastine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:C13|CPC004_A375_6H_X2_B3_DUO52HI53LO:C13|CPC004_A375_6H_X3_B3_DUO52HI53LO:C13,233
CPC004_A375_6H:BRD-K45252063-001-06-0:10,CPC004_A375_6H:BRD-K45252063-001-06-0:10,BRD-K45252063,clofibrate,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:F04|CPC004_A375_6H_X2_B3_DUO52HI53LO:F04|CPC004_A375_6H_X3_B3_DUO52HI53LO:F04,233
CPC004_A375_6H:BRD-K98530306-003-07-6:10,CPC004_A375_6H:BRD-K98530306-003-07-6:10,BRD-K98530306,clonidine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:C17|CPC004_A375_6H_X2_B3_DUO52HI53LO:C17|CPC004_A375_6H_X3_B3_DUO52HI53LO:C17,233
CPC004_A375_6H:BRD-A92537424-001-03-9:10,CPC004_A375_6H:BRD-A92537424-001-03-9:10,BRD-A92537424,danazol,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E03|CPC004_A375_6H_X2_B3_DUO52HI53LO:E03|CPC004_A375_6H_X3_B3_DUO52HI53LO:E03,233
CPC004_A375_6H:BRD-K43389675-001-01-3:10,CPC004_A375_6H:BRD-K43389675-001-01-3:10,BRD-K43389675,daunorubicin,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E07|CPC004_A375_6H_X2_B3_DUO52HI53LO:E07|CPC004_A375_6H_X3_B3_DUO52HI53LO:E07,233
CPC004_A375_6H:BRD-K60762818-003-15-3:10,CPC004_A375_6H:BRD-K60762818-003-15-3:10,BRD-K60762818,desipramine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E11|CPC004_A375_6H_X2_B3_DUO52HI53LO:E11|CPC004_A375_6H_X3_B3_DUO52HI53LO:E11,233
CPC004_A375_6H:BRD-A10188456-001-03-1:10,CPC004_A375_6H:BRD-A10188456-001-03-1:10,BRD-A10188456,dexamethasone,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E13|CPC004_A375_6H_X2_B3_DUO52HI53LO:E13|CPC004_A375_6H_X3_B3_DUO52HI53LO:E13,233
CPC004_A375_6H:BRD-K24053527-004-03-8:10,CPC004_A375_6H:BRD-K24053527-004-03-8:10,BRD-K24053527,dextromethorphan,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E17|CPC004_A375_6H_X2_B3_DUO52HI53LO:E17|CPC004_A375_6H_X3_B3_DUO52HI53LO:E17,233
CPC004_A375_6H:BRD-K08252256-236-17-1:10,CPC004_A375_6H:BRD-K08252256-236-17-1:10,BRD-K08252256,diclofenac,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E19|CPC004_A375_6H_X2_B3_DUO52HI53LO:E19|CPC004_A375_6H_X3_B3_DUO52HI53LO:E19,233
CPC004_A375_6H:BRD-K22031190-001-13-7:10,CPC004_A375_6H:BRD-K22031190-001-13-7:10,BRD-K22031190,diflunisal,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:G07|CPC004_A375_6H_X2_B3_DUO52HI53LO:G07|CPC004_A375_6H_X3_B3_DUO52HI53LO:G07,233
CPC004_A375_6H:BRD-A94756469-001-03-9:10,CPC004_A375_6H:BRD-A94756469-001-03-9:10,BRD-A94756469,digoxin,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:G11|CPC004_A375_6H_X2_B3_DUO52HI53LO:G11|CPC004_A375_6H_X3_B3_DUO52HI53LO:G11,233
CPC004_A375_6H:BRD-K72166146-066-03-9:10,CPC004_A375_6H:BRD-K72166146-066-03-9:10,BRD-K72166146,dihydroergotamine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:G13|CPC004_A375_6H_X2_B3_DUO52HI53LO:G13|CPC004_A375_6H_X3_B3_DUO52HI53LO:G13,233
CPC004_A375_6H:BRD-A69636825-003-03-9:10,CPC004_A375_6H:BRD-A69636825-003-03-9:10,BRD-A69636825,diltiazem,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:D01|CPC004_A375_6H_X2_B3_DUO52HI53LO:D01|CPC004_A375_6H_X3_B3_DUO52HI53LO:D01,233
CPC004_A375_6H:BRD-K86301799-001-19-9:10,CPC004_A375_6H:BRD-K86301799-001-19-9:10,BRD-K86301799,dipyridamole,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:G19|CPC004_A375_6H_X2_B3_DUO52HI53LO:G19|CPC004_A375_6H_X3_B3_DUO52HI53LO:G19,233
CPC004_A375_6H:BRD-A29734509-011-06-0:10,CPC004_A375_6H:BRD-A29734509-011-06-0:10,BRD-A29734509,disopyramide,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:G21|CPC004_A375_6H_X2_B3_DUO52HI53LO:G21|CPC004_A375_6H_X3_B3_DUO52HI53LO:G21,233
CPC004_A375_6H:BRD-A49160188-003-04-4:10,CPC004_A375_6H:BRD-A49160188-003-04-4:10,BRD-A49160188,donepezil,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L10|CPC004_A375_6H_X2_B3_DUO52HI53LO:L10|CPC004_A375_6H_X3_B3_DUO52HI53LO:L10,233
CPC004_A375_6H:BRD-K37694030-003-05-1:10,CPC004_A375_6H:BRD-K37694030-003-05-1:10,BRD-K37694030,doxepin,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:G23|CPC004_A375_6H_X2_B3_DUO52HI53LO:G23|CPC004_A375_6H_X3_B3_DUO52HI53LO:G23,233
CPC004_A375_6H:BRD-A44008656-036-15-9:10,CPC004_A375_6H:BRD-A44008656-036-15-9:10,BRD-A44008656,doxylamine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:I01|CPC004_A375_6H_X2_B3_DUO52HI53LO:I01|CPC004_A375_6H_X3_B3_DUO52HI53LO:I01,233
CPC004_A375_6H:BRD-K71103788-003-04-7:10,CPC004_A375_6H:BRD-K71103788-003-04-7:10,BRD-K71103788,duloxetine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:J03|CPC004_A375_6H_X2_B3_DUO52HI53LO:J03|CPC004_A375_6H_X3_B3_DUO52HI53LO:J03,233
CPC004_A375_6H:BRD-K47635719-001-03-9:10,CPC004_A375_6H:BRD-K47635719-001-03-9:10,BRD-K47635719,dexamethasone,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:M24|CPC004_A375_6H_X2_B3_DUO52HI53LO:M24|CPC004_A375_6H_X3_B3_DUO52HI53LO:M24,233
CPC005_A375_6H:BRD-A54845972-066-01-5:10,CPC005_A375_6H:BRD-A54845972-066-01-5:10,BRD-A54845972,dihydroergotamine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC005_A375_6H_X1_B3_DUO52HI53LO:G08|CPC005_A375_6H_X2_B3_DUO52HI53LO:G08|CPC005_A375_6H_X3_B3_DUO52HI53LO:G08,233
CPC004_A375_6H:BRD-K36616567-003-01-5:10,CPC004_A375_6H:BRD-K36616567-003-01-5:10,BRD-K36616567,doxepin,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:K17|CPC004_A375_6H_X2_B3_DUO52HI53LO:K17|CPC004_A375_6H_X3_B3_DUO52HI53LO:K17,233
CPC004_A375_6H:BRD-K04548931-003-05-8:10,CPC004_A375_6H:BRD-K04548931-003-05-8:10,BRD-K04548931,epirubicin,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:N07|CPC004_A375_6H_X2_B3_DUO52HI53LO:N07|CPC004_A375_6H_X3_B3_DUO52HI53LO:N07,233
CPC004_A375_6H:BRD-K70301876-034-06-1:10,CPC004_A375_6H:BRD-K70301876-034-06-1:10,BRD-K70301876,escitalopram,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:H07|CPC004_A375_6H_X2_B3_DUO52HI53LO:H07|CPC004_A375_6H_X3_B3_DUO52HI53LO:H07,233
CPC004_A375_6H:BRD-A18917088-001-03-1:10,CPC004_A375_6H:BRD-A18917088-001-03-1:10,BRD-A18917088,estradiol,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:I13|CPC004_A375_6H_X2_B3_DUO52HI53LO:I13|CPC004_A375_6H_X3_B3_DUO52HI53LO:I13,233
CPC005_A375_6H:BRD-A37959677-001-03-7:10,CPC005_A375_6H:BRD-A37959677-001-03-7:10,BRD-A37959677,estrone,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC005_A375_6H_X1_B3_DUO52HI53LO:P12|CPC005_A375_6H_X2_B3_DUO52HI53LO:P12|CPC005_A375_6H_X3_B3_DUO52HI53LO:P12,233
CPC004_A375_6H:BRD-A22143024-231-02-0:10,CPC004_A375_6H:BRD-A22143024-231-02-0:10,BRD-A22143024,estropipate,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L20|CPC004_A375_6H_X2_B3_DUO52HI53LO:L20|CPC004_A375_6H_X3_B3_DUO52HI53LO:L20,233
CPC004_A375_6H:BRD-A74667430-001-15-2:10,CPC004_A375_6H:BRD-A74667430-001-15-2:10,BRD-A74667430,etodolac,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:E02|CPC004_A375_6H_X2_B3_DUO52HI53LO:E02|CPC004_A375_6H_X3_B3_DUO52HI53LO:E02,233
CPC004_A375_6H:BRD-A54880345-001-11-8:10,CPC004_A375_6H:BRD-A54880345-001-11-8:10,BRD-A54880345,etomidate,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L05|CPC004_A375_6H_X2_B3_DUO52HI53LO:L05|CPC004_A375_6H_X3_B3_DUO52HI53LO:L05,233
CPC004_A375_6H:BRD-A73741725-001-01-0:10,CPC004_A375_6H:BRD-A73741725-001-01-0:10,BRD-A73741725,exemestane,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L16|CPC004_A375_6H_X2_B3_DUO52HI53LO:L16|CPC004_A375_6H_X3_B3_DUO52HI53LO:L16,233
CPC004_A375_6H:BRD-A41519720-001-03-0:10,CPC004_A375_6H:BRD-A41519720-001-03-0:10,BRD-A41519720,ezetimibe,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:N12|CPC004_A375_6H_X2_B3_DUO52HI53LO:N12|CPC004_A375_6H_X3_B3_DUO52HI53LO:N12,233
CPC005_A375_6H:BRD-K51095933-231-03-2:10,CPC005_A375_6H:BRD-K51095933-231-03-2:10,BRD-K51095933,estropipate,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC005_A375_6H_X1_B3_DUO52HI53LO:D01|CPC005_A375_6H_X2_B3_DUO52HI53LO:D01|CPC005_A375_6H_X3_B3_DUO52HI53LO:D01,233
CPC004_A375_6H:BRD-K45033733-001-05-6:10,CPC004_A375_6H:BRD-K45033733-001-05-6:10,BRD-K45033733,famciclovir,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:N06|CPC004_A375_6H_X2_B3_DUO52HI53LO:N06|CPC004_A375_6H_X3_B3_DUO52HI53LO:N06,233
CPC004_A375_6H:BRD-A73368467-003-07-7:10,CPC004_A375_6H:BRD-A73368467-003-07-7:10,BRD-A73368467,fexofenadine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:J10|CPC004_A375_6H_X2_B3_DUO52HI53LO:J10|CPC004_A375_6H_X3_B3_DUO52HI53LO:J10,233
CPC004_A375_6H:BRD-K66296774-001-02-0:10,CPC004_A375_6H:BRD-K66296774-001-02-0:10,BRD-K66296774,fluvastatin,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L12|CPC004_A375_6H_X2_B3_DUO52HI53LO:L12|CPC004_A375_6H_X3_B3_DUO52HI53LO:L12,233
CPC004_A375_6H:BRD-A09472452-015-11-9:10,CPC004_A375_6H:BRD-A09472452-015-11-9:10,BRD-A09472452,flecainide,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:A09|CPC004_A375_6H_X2_B3_DUO52HI53LO:A09|CPC004_A375_6H_X3_B3_DUO52HI53LO:A09,233
CPC004_A375_6H:BRD-K32830106-001-01-8:10,CPC004_A375_6H:BRD-K32830106-001-01-8:10,BRD-K32830106,guanfacine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:J07|CPC004_A375_6H_X2_B3_DUO52HI53LO:J07|CPC004_A375_6H_X3_B3_DUO52HI53LO:J07,233
CPC004_A375_6H:BRD-K60038276-001-03-3:10,CPC004_A375_6H:BRD-K60038276-001-03-3:10,BRD-K60038276,irbesartan,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L06|CPC004_A375_6H_X2_B3_DUO52HI53LO:L06|CPC004_A375_6H_X3_B3_DUO52HI53LO:L06,233
CPC005_A375_6H:BRD-A16700644-003-03-6:10,CPC005_A375_6H:BRD-A16700644-003-03-6:10,BRD-A16700644,isoxsuprine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC005_A375_6H_X1_B3_DUO52HI53LO:C20|CPC005_A375_6H_X2_B3_DUO52HI53LO:C20|CPC005_A375_6H_X3_B3_DUO52HI53LO:C20,233
CPC004_A375_6H:BRD-A40639672-234-09-9:10,CPC004_A375_6H:BRD-A40639672-234-09-9:10,BRD-A40639672,ketorolac,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:H12|CPC004_A375_6H_X2_B3_DUO52HI53LO:H12|CPC004_A375_6H_X3_B3_DUO52HI53LO:H12,233
CPC004_A375_6H:BRD-A07440155-003-16-3:10,CPC004_A375_6H:BRD-A07440155-003-16-3:10,BRD-A07440155,labetalol,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:B22|CPC004_A375_6H_X2_B3_DUO52HI53LO:B22|CPC004_A375_6H_X3_B3_DUO52HI53LO:B22,233
CPC004_A375_6H:BRD-A84174393-236-03-0:10,CPC004_A375_6H:BRD-A84174393-236-03-0:10,BRD-A84174393,meloxicam,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:L02|CPC004_A375_6H_X2_B3_DUO52HI53LO:L02|CPC004_A375_6H_X3_B3_DUO52HI53LO:L02,233
CPC004_A375_6H:BRD-K35941380-050-17-0:10,CPC004_A375_6H:BRD-K35941380-050-17-0:10,BRD-K35941380,methysergide,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:J17|CPC004_A375_6H_X2_B3_DUO52HI53LO:J17|CPC004_A375_6H_X3_B3_DUO52HI53LO:J17,233
CPC004_A375_6H:BRD-A61793559-001-08-1:10,CPC004_A375_6H:BRD-A61793559-001-08-1:10,BRD-A61793559,metolazone,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:I09|CPC004_A375_6H_X2_B3_DUO52HI53LO:I09|CPC004_A375_6H_X3_B3_DUO52HI53LO:I09,233
CPC004_A375_6H:BRD-A64092382-003-09-2:10,CPC004_A375_6H:BRD-A64092382-003-09-2:10,BRD-A64092382,mexiletine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:H14|CPC004_A375_6H_X2_B3_DUO52HI53LO:H14|CPC004_A375_6H_X3_B3_DUO52HI53LO:H14,233
CPC004_A375_6H:BRD-A79981887-003-09-9:10,CPC004_A375_6H:BRD-A79981887-003-09-9:10,BRD-A79981887,midodrine,trt_cp,A375,10,µM,10 µM,6,h,6 h,CPC004_A375_6H_X1_B3_DUO52HI53LO:D06|CPC004_A375_6H_X2_B3_DUO52HI53LO:D06|CPC004_A375_6H_X3_B3_DUO52HI53LO:D06,233
