PubChem_CID,Compound Name,standardized_smiles,vDILIConcern
213039,darunavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,vMost-DILI-Concern
3033,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,vMost-DILI-Concern
50599,didanosine,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,vMost-DILI-Concern
3059,diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,vMost-DILI-Concern
39186,diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,vMost-DILI-Concern
3117,disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,vMost-DILI-Concern
208898,dronedarone,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,vMost-DILI-Concern
60835,duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,vMost-DILI-Concern
64139,efavirenz,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,vMost-DILI-Concern
176870,erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,vMost-DILI-Concern
12560,erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,vMost-DILI-Concern
18140,estramustine,CC12CCC3c4ccc(OC(=O)N(CCCl)CCCl)cc4CCC3C1CCC2O,vMost-DILI-Concern
3279,ethambutol,CCC(CO)NCCNC(CC)CO,vMost-DILI-Concern
3308,etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,vMost-DILI-Concern
193962,etravirine,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,vMost-DILI-Concern
60198,exemestane,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,vMost-DILI-Concern
134018,febuxostat,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,vMost-DILI-Concern
3342,fenoprofen,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,vMost-DILI-Concern
3365,fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,vMost-DILI-Concern
56339,fosphenytoin,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,vMost-DILI-Concern
123631,gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,vMost-DILI-Concern
60750,gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,vMost-DILI-Concern
3463,gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,vMost-DILI-Concern
441140,griseofulvin,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,vMost-DILI-Concern
3657,hydroxyurea,NC(=O)NO,vMost-DILI-Concern
5291,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,vMost-DILI-Concern
3715,indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,vMost-DILI-Concern
5282379,isotretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,vMost-DILI-Concern
55283,itraconazole,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,vMost-DILI-Concern
3869,labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,vMost-DILI-Concern
3878,lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,vMost-DILI-Concern
149096,levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,vMost-DILI-Concern
4044,mefenamic acid,Cc1cccc(Nc2ccccc2C(=O)O)c1C,vMost-DILI-Concern
667490,mercaptopurine,S=c1nc[nH]c2nc[nH]c12,vMost-DILI-Concern
1349907,methimazole,Cn1cc[nH]c1=S,vMost-DILI-Concern
38853,methyldopa,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,vMost-DILI-Concern
65833,milnacipran,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,vMost-DILI-Concern
5281021,minocycline,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1C2=O,vMost-DILI-Concern
9904,nandrolone decanoate,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,vMost-DILI-Concern
4493,nilutamide,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,vMost-DILI-Concern
5353830,nitrofurantoin,O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,vMost-DILI-Concern
4543,nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,vMost-DILI-Concern
3034010,orlistat,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,vMost-DILI-Concern
4680,papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,vMost-DILI-Concern
1775,phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,vMost-DILI-Concern
11598201,raltegravir,Cc1nnc(C(=O)NC(C)(C)C2=NC(C(=O)NCc3ccc(F)cc3)C(=O)C(=O)N2C)o1,vMost-DILI-Concern
5381226,rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)/C(=C/NN2CCN(C)CC2)C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,vMost-DILI-Concern
5070,riluzole,Nc1nc2ccc(OC(F)(F)F)cc2s1,vMost-DILI-Concern
392622,ritonavir,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,vMost-DILI-Concern
216239,sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,vMost-DILI-Concern
5353980,sulfasalazine,O=C(O)C1=C/C(=N/Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,vMost-DILI-Concern
5352,sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1,vMost-DILI-Concern
2733526,tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,vMost-DILI-Concern
5462516,telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,vMost-DILI-Concern
5402,terbinafine,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,vMost-DILI-Concern
6013,testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,vMost-DILI-Concern
5430,thiabendazole,c1ccc2[nH]c(-c3cscn3)nc2c1,vMost-DILI-Concern
5472,ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,vMost-DILI-Concern
5487,tizanidine,Clc1ccc2nsnc2c1NC1=NCCN1,vMost-DILI-Concern
216237,tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,vMost-DILI-Concern
71616,voriconazole,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,vMost-DILI-Concern
5717,zafirlukast,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,vMost-DILI-Concern
60490,zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O,vMost-DILI-Concern
60871,adefovir,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,vLess-DILI-Concern
14956,amphotericin b,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)C=CC=CC=CC=CC=CC=CC=C[C@H](C)[C@@H](O)[C@H]1C)O2,vLess-DILI-Concern
6249,ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,vLess-DILI-Concern
148192,atazanavir,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,vLess-DILI-Concern
31101,bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,vLess-DILI-Concern
20824,carbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,vLess-DILI-Concern
498142,carboplatin,O=C(O)C1(C(=O)O)CCC1,vLess-DILI-Concern
2662,celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,vLess-DILI-Concern
2708,chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,vLess-DILI-Concern
29029,clindamycin,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,vLess-DILI-Concern
2796,clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,vLess-DILI-Concern
1548955,clomiphene,CCN(CC)CCOc1ccc(/C(=C(\Cl)c2ccccc2)c2ccccc2)cc1,vLess-DILI-Concern
2812,clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,vLess-DILI-Concern
6098,cloxacillin,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,vLess-DILI-Concern
2955,dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,vLess-DILI-Concern
18381,dicloxacillin,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,vLess-DILI-Concern
148124,docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,vLess-DILI-Concern
2761171,ethionamide,CCc1cc(C(N)=S)ccn1,vLess-DILI-Concern
150311,ezetimibe,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,vLess-DILI-Concern
3339,fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,vLess-DILI-Concern
1548972,fluvastatin,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,vLess-DILI-Concern
3446,gabapentin,NCC1(CC(=O)O)CCCCC1,vLess-DILI-Concern
5464436,gemifloxacin,CO/N=C1/CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,vLess-DILI-Concern
3672,ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,vLess-DILI-Concern
