,similarities_all,similarities_DILI,similarities_noDILI,nn_DILI,nn_noDILI,true_label,predicted_label,correct,probability
90,[0.24096017770716563],[0.18343497459575325],[0.24096017770716563],0,5,1.0,[0.],[0],[[0.69066667 0.30933333]]
91,[0.1858239409631495],[0.17356537952222045],[0.17945587626852647],3,2,1.0,[1.],[1],[[0.49733333 0.50266667]]
92,[0.30691697191697187],[0.30136141636141633],[0.253927109772311],4,1,1.0,[1.],[1],[[0.23866667 0.76133333]]
93,[0.2457675423786047],[0.20673688653543612],[0.20712549951494763],2,3,1.0,[0.],[0],[[0.54933333 0.45066667]]
94,[0.2955224929541654],[0.20543163608167486],[0.2858529703103465],1,4,1.0,[0.],[0],[[0.65866667 0.34133333]]
95,[0.2853960453960454],[0.25481455979566775],[0.2821326421326421],1,4,1.0,[0.],[0],[[0.57866667 0.42133333]]
96,[0.2229896484855106],[0.19120526097310522],[0.20217625135632403],1,4,1.0,[1.],[1],[[0.452 0.548]]
97,[0.19056238040566398],[0.18348211293481115],[0.1896081893725256],2,3,1.0,[1.],[1],[[0.456 0.544]]
98,[0.15033633033633031],[0.1450731724415935],[0.13278869558114842],4,1,1.0,[1.],[1],[[0.35466667 0.64533333]]
99,[0.3250486656200941],[0.29523302922060685],[0.28122448979591835],2,3,1.0,[0.],[0],[[0.572 0.428]]
100,[0.2036540900341584],[0.194798499914779],[0.19702561239444485],2,3,1.0,[0.],[0],[[0.51466667 0.48533333]]
101,[0.2079047976203232],[0.1794205202230023],[0.17301619714130498],3,2,1.0,[1.],[1],[[0.40533333 0.59466667]]
102,[0.22600324027916247],[0.2257315011487277],[0.19665193864106909],4,1,1.0,[1.],[1],[[0.276 0.724]]
103,[0.24268316385525388],[0.24268316385525388],[0.1626548678890345],5,0,1.0,[1.],[1],[[0.29066667 0.70933333]]
104,[0.16390058217644426],[0.12388798545443418],[0.16390058217644426],0,5,1.0,[0.],[0],[[0.83333333 0.16666667]]
105,[0.24186944358474877],[0.24003794175324694],[0.19557200929152146],4,1,1.0,[1.],[1],[[0.304 0.696]]
106,[0.2115329665732335],[0.20759629562757667],[0.17122931156842508],4,1,1.0,[1.],[1],[[0.28133333 0.71866667]]
107,[0.28627084879771464],[0.28406496644477347],[0.17069924098671724],4,1,1.0,[1.],[1],[[0.404 0.596]]
108,[0.3860613355542361],[0.36051845244503045],[0.18152341230806704],2,3,1.0,[1.],[1],[[0.29333333 0.70666667]]
109,[0.3074978822347243],[0.2876065076065076],[0.2586853722492062],3,2,1.0,[1.],[1],[[0.40933333 0.59066667]]
110,[0.23752023254994392],[0.2283656256024677],[0.2198000932121575],3,2,1.0,[1.],[1],[[0.40133333 0.59866667]]
111,[0.21355011677666141],[0.20669007601462427],[0.1991867962456198],2,3,1.0,[0.],[0],[[0.664 0.336]]
112,[0.3594272491605338],[0.3461211267115542],[0.2439691140100814],4,1,1.0,[1.],[1],[[0.25733333 0.74266667]]
113,[0.2854960491659351],[0.266448430118316],[0.25631883051389326],4,1,1.0,[1.],[1],[[0.45866667 0.54133333]]
114,[0.2756035656899131],[0.2756035656899131],[0.1853902407788951],5,0,1.0,[1.],[1],[[0.18133333 0.81866667]]
115,[0.23337591535732352],[0.23337591535732352],[0.20144338118022329],5,0,1.0,[1.],[1],[[0.44666667 0.55333333]]
116,[0.15845472357100263],[0.13740734183396572],[0.14498168498168498],2,3,1.0,[0.],[0],[[0.796 0.204]]
117,[0.3508554743337352],[0.31192558792558794],[0.2761314138779674],3,2,1.0,[1.],[1],[[0.34 0.66]]
118,[0.2698434081120648],[0.24222647527910687],[0.22105909438657462],1,4,1.0,[1.],[1],[[0.44 0.56]]
119,[0.20422632922632925],[0.20422632922632925],[0.15964044037531278],5,0,1.0,[1.],[1],[[0.328 0.672]]
120,[0.25600688439814195],[0.2558402177314753],[0.16208864950303306],4,1,1.0,[1.],[1],[[0.328 0.672]]
121,[0.3802366879766261],[0.35502949357169306],[0.1783480530240234],2,3,1.0,[1.],[1],[[0.296 0.704]]
122,[0.2752353078966075],[0.26514305897861645],[0.2164885124631554],2,3,1.0,[1.],[1],[[0.48266667 0.51733333]]
123,[0.2056661991584853],[0.14687525584946623],[0.2056661991584853],0,5,1.0,[0.],[0],[[0.89466667 0.10533333]]
124,[0.21017074169009664],[0.20549688447386658],[0.1996519940587737],4,1,1.0,[0.],[0],[[0.552 0.448]]
125,[0.1647278511679169],[0.1647278511679169],[0.13044411537965123],5,0,1.0,[1.],[1],[[0.20933333 0.79066667]]
126,[0.2413730994376156],[0.22932757800994313],[0.22192666697929858],2,3,1.0,[0.],[0],[[0.516 0.484]]
127,[0.22217730485014756],[0.21890933099393836],[0.1982921438617641],4,1,1.0,[1.],[1],[[0.29066667 0.70933333]]
128,[0.33187617260787994],[0.32540156613327353],[0.2914851450419166],3,2,1.0,[1.],[1],[[0.46666667 0.53333333]]
129,[0.2900570651514048],[0.26870785880219844],[0.18904120711218772],3,2,1.0,[1.],[1],[[0.356 0.644]]
130,[0.2740741464049735],[0.24175525019445163],[0.2449373840445269],2,3,1.0,[1.],[1],[[0.48266667 0.51733333]]
131,[0.31365502635313114],[0.31120240650920694],[0.19481577712219003],4,1,1.0,[1.],[1],[[0.29066667 0.70933333]]
132,[0.3237156394447601],[0.30598791475245857],[0.2301769210518893],2,3,1.0,[1.],[1],[[0.26266667 0.73733333]]
133,[0.24780594556435798],[0.24258206496734305],[0.22074353894405635],4,1,1.0,[1.],[1],[[0.46 0.54]]
134,[0.1750641419776374],[0.15446862152522528],[0.17239747531097077],1,4,1.0,[1.],[1],[[0.43866667 0.56133333]]
135,[0.20177439048406792],[0.1946551270080682],[0.18072636748701942],3,2,1.0,[0.],[0],[[0.81733333 0.18266667]]
136,[0.24081840420128145],[0.22600631867773813],[0.22307752082456161],3,2,1.0,[1.],[1],[[0.34266667 0.65733333]]
137,[0.29648943223130825],[0.2944425239157432],[0.2119985893198776],4,1,1.0,[1.],[1],[[0.17466667 0.82533333]]
138,[0.22142432467745893],[0.2173706006237349],[0.1405962177175271],4,1,1.0,[0.],[0],[[0.52533333 0.47466667]]
139,[0.27461991374074873],[0.27461991374074873],[0.15937964947673683],5,0,1.0,[1.],[1],[[0.29733333 0.70266667]]
140,[0.36510213839422834],[0.23928200553535076],[0.36510213839422834],0,5,1.0,[0.],[0],[[0.80933333 0.19066667]]
141,[0.17581874327116861],[0.1544740315400875],[0.1716357367352209],1,4,1.0,[1.],[1],[[0.4 0.6]]
142,[0.26802407714167187],[0.26469856853447316],[0.18319688244408983],4,1,1.0,[1.],[1],[[0.28133333 0.71866667]]
143,[0.27296106848536517],[0.2629833863556027],[0.24240715983363045],3,2,1.0,[1.],[1],[[0.22933333 0.77066667]]
144,[0.2200567869827832],[0.1839861909121871],[0.1752206736353078],3,2,1.0,[1.],[1],[[0.404 0.596]]
145,[0.17863322379451413],[0.15789486841786085],[0.14527027027027026],3,2,1.0,[1.],[1],[[0.444 0.556]]
146,[0.40308608058608053],[0.2763777890842794],[0.39736157253599114],1,4,1.0,[0.],[0],[[0.72933333 0.27066667]]
147,[0.2798980631348122],[0.21777782943891538],[0.2798980631348122],0,5,1.0,[0.],[0],[[0.696 0.304]]
148,[0.16849021449119825],[0.1468891778320262],[0.16849021449119825],0,5,1.0,[0.],[0],[[0.63333333 0.36666667]]
149,[0.4458840838278452],[0.327467431119605],[0.3662927938238179],2,3,1.0,[0.],[0],[[0.604 0.396]]
150,[0.2562061403508772],[0.2562061403508772],[0.16137761072333606],5,0,1.0,[1.],[1],[[0.20133333 0.79866667]]
151,[0.27886400764070396],[0.27886400764070396],[0.14792481384030678],5,0,1.0,[1.],[1],[[0.228 0.772]]
152,[0.2465896957452604],[0.22570161078785578],[0.2160084439945323],3,2,1.0,[0.],[0],[[0.57466667 0.42533333]]
153,[0.18584052790992306],[0.1478294074346706],[0.18496333492746692],1,4,1.0,[0.],[0],[[0.736 0.264]]
154,[0.23118170345061104],[0.19749543542113202],[0.2296045918367347],2,3,1.0,[1.],[1],[[0.424 0.576]]
155,[0.29284987831898585],[0.23710196752151372],[0.2564412238325282],2,3,1.0,[1.],[1],[[0.38666667 0.61333333]]
156,[0.20160268530680653],[0.18831239903368754],[0.18690454289194586],2,3,1.0,[1.],[1],[[0.42133333 0.57866667]]
157,[0.16505314115987532],[0.15192019567398865],[0.15856499691640635],3,2,1.0,[0.],[0],[[0.52933333 0.47066667]]
158,[0.14672385810590036],[0.14611270680509386],[0.13449119123452374],3,2,1.0,[1.],[1],[[0.27733333 0.72266667]]
159,[0.2080310834650565],[0.18683551428169407],[0.1941816667100194],1,4,1.0,[0.],[0],[[0.59066667 0.40933333]]
160,[0.2459862191106863],[0.2459862191106863],[0.1767544951547553],5,0,1.0,[1.],[1],[[0.176 0.824]]
161,[0.2164992903856669],[0.2164992903856669],[0.1665553682455091],5,0,1.0,[1.],[1],[[0.32666667 0.67333333]]
162,[0.233759452447977],[0.22899754768607225],[0.16983357165710108],4,1,1.0,[1.],[1],[[0.292 0.708]]
163,[0.3141401941711539],[0.23899616858237546],[0.3141401941711539],0,5,1.0,[0.],[0],[[0.612 0.388]]
164,[0.27342720498057344],[0.2720681282898173],[0.1529695414249084],4,1,1.0,[1.],[1],[[0.32266667 0.67733333]]
165,[0.18927400097426234],[0.17539063087450182],[0.18221118263809935],2,3,1.0,[0.],[0],[[0.524 0.476]]
166,[0.4269201618054078],[0.3604846841962591],[0.36103616563718055],2,3,1.0,[1.],[1],[[0.43466667 0.56533333]]
167,[0.1627091923356779],[0.15669196395002843],[0.13864607494892223],3,2,1.0,[1.],[1],[[0.32933333 0.67066667]]
168,[0.21148711943793913],[0.19549439235825553],[0.20062577542432497],3,2,1.0,[0.],[0],[[0.51866667 0.48133333]]
169,[0.1634706987334436],[0.1483665011549523],[0.14430653378307526],3,2,1.0,[1.],[1],[[0.37066667 0.62933333]]
170,[0.26461147339790003],[0.23523990820203894],[0.24852127827474804],3,2,1.0,[1.],[1],[[0.424 0.576]]
171,[0.276079291648357],[0.26195561128968453],[0.18137291532670224],3,2,1.0,[1.],[1],[[0.40933333 0.59066667]]
172,[0.23450895335451313],[0.20990048094032326],[0.22258424440010122],1,4,1.0,[0.],[0],[[0.596 0.404]]
173,[0.2393024132730015],[0.23047888386123677],[0.20268985042332516],4,1,1.0,[1.],[1],[[0.392 0.608]]
174,[0.3520100604164419],[0.17279576675077096],[0.3520100604164419],0,5,0.0,[0.],[1],[[0.924 0.076]]
175,[0.23299584808712598],[0.21628803554000214],[0.2156988921694804],2,3,0.0,[0.],[1],[[0.768 0.232]]
176,[0.4176446034585569],[0.32821407747901665],[0.35801343003428004],2,3,0.0,[1.],[0],[[0.48933333 0.51066667]]
177,[0.3475489104979892],[0.20573646578140958],[0.3475489104979892],0,5,0.0,[0.],[1],[[0.75333333 0.24666667]]
178,[0.2546571001281869],[0.16654061624649857],[0.25152081112982894],2,3,0.0,[0.],[1],[[0.72 0.28]]
179,[0.24997069393796822],[0.20961322259829723],[0.24997069393796822],0,5,0.0,[0.],[1],[[0.80533333 0.19466667]]
180,[0.25140877246420956],[0.24790775364561526],[0.21418897810155801],3,2,0.0,[1.],[0],[[0.404 0.596]]
181,[0.2044633031078044],[0.12206907787552948],[0.2044633031078044],1,4,0.0,[0.],[1],[[0.83866667 0.16133333]]
182,[0.4289762681684367],[0.20207163310636966],[0.4210228740448298],1,4,0.0,[0.],[1],[[0.88133333 0.11866667]]
183,[0.251307907778496],[0.19912434539033003],[0.23746175393234217],1,4,0.0,[0.],[1],[[0.86533333 0.13466667]]
184,[0.3275045550516912],[0.30508595040052844],[0.25891354998307126],4,1,0.0,[1.],[0],[[0.29066667 0.70933333]]
185,[0.2500109634312363],[0.17389785124651108],[0.2500109634312363],0,5,0.0,[0.],[1],[[0.72933333 0.27066667]]
186,[0.2166753873651197],[0.17716404965577168],[0.21324906270681598],1,4,0.0,[0.],[1],[[0.67466667 0.32533333]]
187,[0.37417337201212864],[0.2083539264976201],[0.3591104313892016],2,3,0.0,[0.],[1],[[0.84266667 0.15733333]]
188,[0.4808427859554798],[0.2598741757656053],[0.47596990459954763],1,4,0.0,[0.],[1],[[0.93066667 0.06933333]]
189,[0.20230031274881588],[0.20207406840492448],[0.17783737759787882],4,1,0.0,[1.],[0],[[0.38666667 0.61333333]]
190,[0.4105189047888539],[0.2513420410460356],[0.4058180500879992],1,4,0.0,[0.],[1],[[0.836 0.164]]
191,[0.3398491273261176],[0.24289463504021175],[0.3398491273261176],0,5,0.0,[0.],[1],[[0.76133333 0.23866667]]
192,[0.2575065876152832],[0.2292091516332301],[0.24070481900806145],1,4,0.0,[1.],[0],[[0.48266667 0.51733333]]
193,[0.3327560121038382],[0.15186415508280102],[0.3327560121038382],0,5,0.0,[0.],[1],[[0.872 0.128]]
194,[0.29642455256671313],[0.19787799813543522],[0.29642455256671313],0,5,0.0,[0.],[1],[[0.808 0.192]]
195,[0.4095055413469736],[0.1743012243012243],[0.4095055413469736],0,5,0.0,[0.],[1],[[0.94933333 0.05066667]]
196,[0.34408094066174455],[0.3093594808212849],[0.30451052882231355],3,2,0.0,[1.],[0],[[0.48666667 0.51333333]]
197,[0.44592156862745097],[0.23393367638650658],[0.44592156862745097],0,5,0.0,[0.],[1],[[0.76266667 0.23733333]]
198,[0.27491009058276356],[0.20456554648580175],[0.25629585115919584],2,3,0.0,[0.],[1],[[0.58133333 0.41866667]]
199,[0.342142117231188],[0.16581195395904738],[0.342142117231188],0,5,0.0,[0.],[1],[[0.87333333 0.12666667]]
200,[0.23850938621062462],[0.17080713142668408],[0.236922084623323],1,4,0.0,[0.],[1],[[0.74266667 0.25733333]]
201,[0.3443191311612364],[0.16576682774274207],[0.33614452798663325],1,4,0.0,[0.],[1],[[0.62133333 0.37866667]]
202,[0.2290226748798109],[0.15412347062669282],[0.22499290899798563],3,2,0.0,[0.],[1],[[0.816 0.184]]
203,[0.4923512612049198],[0.2486462739681352],[0.4923512612049198],0,5,0.0,[0.],[1],[[0.812 0.188]]
204,[0.18788791274085395],[0.15102351216735538],[0.18744835230129347],1,4,0.0,[0.],[1],[[0.77466667 0.22533333]]
205,[0.32548523820895625],[0.20042368679005937],[0.2986179525583558],3,2,0.0,[0.],[1],[[0.81866667 0.18133333]]
206,[0.22156205941979765],[0.21703469623571808],[0.20050454921422664],3,2,0.0,[0.],[1],[[0.63866667 0.36133333]]
207,[0.4783660130718955],[0.25366536684483193],[0.4783660130718955],0,5,0.0,[0.],[1],[[0.828 0.172]]
208,[0.22404104247464765],[0.2130807609261308],[0.2034737484737485],3,2,0.0,[0.],[1],[[0.532 0.468]]
209,[0.37417337201212864],[0.2083539264976201],[0.3591104313892016],2,3,0.0,[0.],[1],[[0.844 0.156]]
210,[0.29719381795170524],[0.2332916147886837],[0.29719381795170524],0,5,0.0,[0.],[1],[[0.68 0.32]]
211,[0.21560884671169153],[0.2041890822393923],[0.2104977777846476],2,3,0.0,[1.],[0],[[0.35466667 0.64533333]]
212,[0.41797193466758686],[0.15390398442317182],[0.41797193466758686],0,5,0.0,[0.],[1],[[0.868 0.132]]
213,[0.2545677539514749],[0.2545677539514749],[0.20321310062486533],5,0,0.0,[1.],[0],[[0.28266667 0.71733333]]
214,[0.3936264606852842],[0.28651628388470496],[0.3534006679594915],2,3,0.0,[0.],[1],[[0.684 0.316]]
215,[0.28661215327881995],[0.2135816132128824],[0.28587808587808594],1,4,0.0,[0.],[1],[[0.77333333 0.22666667]]
216,[0.19111709795207973],[0.1798386842775388],[0.18715201677397744],2,3,0.0,[1.],[0],[[0.496 0.504]]
217,[0.19783034604006472],[0.17144467544467545],[0.19211202267468255],2,3,0.0,[0.],[1],[[0.83733333 0.16266667]]
218,[0.37647398234354756],[0.19207324070415344],[0.37647398234354756],0,5,0.0,[0.],[1],[[0.876 0.124]]
219,[0.3227438318981884],[0.26496153632752706],[0.3115031107953251],1,4,0.0,[0.],[1],[[0.78933333 0.21066667]]
220,[0.3385928976172879],[0.21626300528739556],[0.29953224972092896],2,3,0.0,[0.],[1],[[0.68133333 0.31866667]]
221,[0.16092446201141852],[0.16092446201141852],[0.131354020866216],5,0,0.0,[1.],[0],[[0.268 0.732]]
222,[0.22036257482218824],[0.1868545805483321],[0.2173619225064675],1,4,0.0,[0.],[1],[[0.83733333 0.16266667]]
223,[0.31182672033735864],[0.2949498250822504],[0.29780979548421416],2,3,0.0,[0.],[1],[[0.584 0.416]]
224,[0.21134187350572922],[0.21097004335774078],[0.18285839166774737],4,1,0.0,[0.],[1],[[0.55733333 0.44266667]]
